CALENDAR_YEAR,LOCATION_ID,RACE_ETHNICITY,ALONE_OR_IN_COMBINATION,CNT
2017,CA-521,Asian or Asian American,Alone or In Combination,*
2017,CA-521,Asian or Asian American,In_Combination,*
2017,CA-521,"Black, African American or African",Alone,113
2017,CA-521,"Black, African American or African",Alone or In Combination,136
2017,CA-521,"Black, African American or African",In_Combination,23
2017,CA-521,Hispanic/Latina/e/o,Alone,*
2017,CA-521,Hispanic/Latina/e/o,Alone or In Combination,141
2017,CA-521,Hispanic/Latina/e/o,In_Combination,136
2017,CA-521,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-521,Native Hawaiian or Pacific Islander,Alone or In Combination,11
2017,CA-521,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-521,White,Alone,229
2017,CA-521,White,Alone or In Combination,349
2017,CA-521,White,In_Combination,120
2017,CA-522,"American Indian, Alaska Native, or Indigenous",Alone,62
2017,CA-522,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,185
2017,CA-522,"American Indian, Alaska Native, or Indigenous",In_Combination,123
2017,CA-522,Asian or Asian American,Alone,*
2017,CA-522,Asian or Asian American,Alone or In Combination,13
2017,CA-522,Asian or Asian American,In_Combination,*
2017,CA-522,"Black, African American or African",Alone,41
2017,CA-522,"Black, African American or African",Alone or In Combination,61
2017,CA-522,"Black, African American or African",In_Combination,20
2017,CA-522,Hispanic/Latina/e/o,Alone,11
2017,CA-522,Hispanic/Latina/e/o,Alone or In Combination,130
2017,CA-522,Hispanic/Latina/e/o,In_Combination,119
2017,CA-522,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-522,Native Hawaiian or Pacific Islander,Alone or In Combination,17
2017,CA-522,Native Hawaiian or Pacific Islander,In_Combination,14
2017,CA-522,White,Alone,631
2017,CA-522,White,Alone or In Combination,824
2017,CA-522,White,In_Combination,193
2017,CA-523,"American Indian, Alaska Native, or Indigenous",Alone,16
2017,CA-523,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,21
2017,CA-523,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-523,"Black, African American or African",Alone,*
2017,CA-523,"Black, African American or African",Alone or In Combination,*
2017,CA-523,"Black, African American or African",In_Combination,*
2017,CA-523,Hispanic/Latina/e/o,Alone,16
2017,CA-523,Hispanic/Latina/e/o,Alone or In Combination,89
2017,CA-523,Hispanic/Latina/e/o,In_Combination,73
2017,CA-523,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-523,Native Hawaiian or Pacific Islander,Alone or In Combination,*
2017,CA-523,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-523,White,Alone,80
2017,CA-523,White,Alone or In Combination,148
2017,CA-523,White,In_Combination,68
2017,CA-525,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-525,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,11
2017,CA-525,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-525,"Black, African American or African",Alone,*
2017,CA-525,"Black, African American or African",Alone or In Combination,11
2017,CA-525,"Black, African American or African",In_Combination,*
2017,CA-525,Hispanic/Latina/e/o,Alone,*
2017,CA-525,Hispanic/Latina/e/o,Alone or In Combination,49
2017,CA-525,Hispanic/Latina/e/o,In_Combination,40
2017,CA-525,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-525,Native Hawaiian or Pacific Islander,Alone or In Combination,*
2017,CA-525,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-525,White,Alone,229
2017,CA-525,White,Alone or In Combination,264
2017,CA-525,White,In_Combination,35
2017,CA-526,"American Indian, Alaska Native, or Indigenous",Alone,15
2017,CA-526,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,47
2017,CA-526,"American Indian, Alaska Native, or Indigenous",In_Combination,32
2017,CA-526,Asian or Asian American,Alone,*
2017,CA-526,Asian or Asian American,Alone or In Combination,*
2017,CA-526,Asian or Asian American,In_Combination,*
2017,CA-526,"Black, African American or African",Alone,11
2017,CA-526,"Black, African American or African",Alone or In Combination,21
2017,CA-526,"Black, African American or African",In_Combination,*
2017,CA-526,Hispanic/Latina/e/o,Alone,*
2017,CA-526,Hispanic/Latina/e/o,Alone or In Combination,80
2017,CA-526,Hispanic/Latina/e/o,In_Combination,79
2017,CA-526,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-526,Native Hawaiian or Pacific Islander,Alone or In Combination,*
2017,CA-526,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-526,White,Alone,391
2017,CA-526,White,Alone or In Combination,496
2017,CA-526,White,In_Combination,105
2017,CA-527,"American Indian, Alaska Native, or Indigenous",Alone,19
